#********************************************************
# 【明】── 用以校勘版本
#　＝　 ── 作
#　－　 ── 無
#　＋　 ── 有
#　＊　 ── 下同
#　…　 ── 略
#　◎　 ── 異同
#　∞　 ── 位置對調
# （）　── 與＋配合使用
# 〔〕　── 與－配合使用
#　ｉ　 ── 原底本註記應作（原為日文[仁-二]）
#　ｋ　 ── 原底本註記疑似（原為日文[力]）
#　？　 ── 原校對者疑似有誤
#  ●   ── 原書印刷不清
#  ★   ── 找不到源頭的＊
#********************************************************
[000101]01  中論卷第一＝中論序【三】
<090308>＊  〔彼〕－【三】【宮】
[090348]48  〔復次〕－【三】【宮】
[090349]49  〔一切〕－【三】【宮】＊
[090350]50  悉＝是【三】【宮】
<090309>＊  事＝成【三】【宮】
[090351]51  故＋（故）【三】【宮】
<090310>＊  事＝成【三】【宮】
[090352]52  （云何生一切煩惱）＋彼【三】【宮】
[090353]53  謂＝諸【知】
[090354]54  （如是名想言說）＋是【三】【宮】
[090355]55  支＝枝【三】【宮】
[090356]56  生＝法【聖】【知】
[090357]57  後＝復【聖】【知】
[090358]58  〔煩惱〕－【三】【宮】
[090359]59  從＝彼【三】【宮】＊
<090311>＊  事＝成【三】【宮】
[090360]60  （所）＋說【三】【宮】【聖】【知】
[090361]61  （云何生一切清淨）＋彼【三】【宮】
[090362]62  名＋（名）【三】【宮】
[090363]63  （（是名…此））八字＝（（所謂））二字【三】【宮】
<090401>＊  〔彼〕－【三】【宮】
<090402>＊  〔若〕－【三】【宮】
[090401]01  〔清淨〕－【三】【宮】
<090403>＊  〔彼〕－【三】【宮】
[090402]02  （種性…因）十九字∞（近善…因）二十字【三】【宮】
[090403]03  （種性…因）十九字∞（近善…因）二十字【三】【宮】
<090404>＊  事＝成【三】【宮】
[090404]04  惱＝性【知】
[090405]05  為＝正【三】【宮】
[090406]06  若＝諸【三】【宮】
[090407]07  復世俗＝世俗道【三】【宮】
[090408]08  〔工巧處〕－【宮】
<090405>＊  〔處〕－【三】【宮】
[090409]09  〔諸士夫事所謂〕－【宮】
<090406>＊  〔一切〕－【三】【宮】
[090410]10  如是菩薩＝菩薩如是【三】【宮】
[090411]11  〔於〕－【三】【宮】
[090412]12  〔非處〕－【聖】
[090413]13  （（佛所…知））十一字＝（（菩薩如是知佛顯示業））九字【三】【宮】
[090414]14  比略說＝略說求【三】【宮】
[090415]15  〔住〕－【三】【宮】
[090416]16  前＝上【三】【宮】
[090417]17  〔法〕－【三】【宮】＊
[090418]18  〔汙〕－【三】【宮】
[090419]19  〔及〕－【三】【宮】＊
[090420]20  （有七行）∞（離貢高煩惱）【三】【宮】
[090421]21  （有七行）∞（離貢高煩惱）【三】【宮】
[090422]22  （有七行）∞（離輕想煩惱）【三】【宮】
[090423]23  （有七行）∞（離輕想煩惱）【三】【宮】
[090424]24  （有）＋一【三】【宮】，（（一行…謂））九字＝（（離下想煩惱有一行））七字【宮】
[090425]25  （作）＋聽【三】
[090426]26  法＋（者）【三】【宮】
<090407>＊  〔法〕－【三】【宮】
[090427]27  說＋（法）【三】【宮】
[090428]28  〔法〕－【聖】【知】＊
[090429]29  間＝聞【三】【宮】
[090430]30  惓＝捲【三】【宮】
[090431]31  ◎卷第三終【聖】【知】，此下跋文同第一卷【知】
[090432]32  ◎卷第四菩薩地持方便處力種性品之餘首【聖】【知】
[090433]33  〔為〕－【三】【宮】
[090434]34  隱＝慰【三】【宮】【知】
[090501]01  耐＝忍【三】【宮】
[090502]02  勸＝歡【宮】
<090501>＊  〔及〕－【三】【宮】
<090502>＊  〔法〕－【聖】【知】
[090503]03  〔於〕－【三】【宮】
[090504]04  知＋（菩薩）【三】【宮】
[090505]05  〔菩薩〕－【三】【宮】＊
[090506]06  具足＝方便不息【三】【宮】
[090507]07  忘＝妄【三】【宮】
[090508]08  自無＝無有【三】【宮】
<090503>＊  〔菩薩〕－【三】【宮】
<090504>＊  〔菩薩〕－【三】【宮】
[090509]09  樂＋（住）【三】【宮】＊
[090510]10  者＝觀【明】
<090505>＊  〔菩薩〕－【三】【宮】
[090511]11  義＝理【明】
[090512]12  熏＝勳【宋】【宮】
[090513]13  正＝是【明】
[090514]14  修＋習【三】【宮】
[090515]15  若＝名【聖】【知】
[090516]16  〔是名…觀〕六字－【聖】【知】
<090506>＊  樂＋（住）【三】【宮】
<090507>＊  樂＋（住）【三】【宮】
[090517]17  〔觀〕－【三】【宮】【聖】
[090518]18  猗＝倚【知】
[090519]19  〔如是〕－【三】【宮】【聖】
[090520]20  （正）＋教【三】【宮】
[090521]21  說＋（有）【三】【宮】
[090522]22  〔教授〕－【三】【宮】
[090523]23  若＝心【三】，〔若無…教授〕十一字－【宮】
[090524]24  求＝未【聖】
[090525]25  〔根求者〕－【三】
[090526]26  悕＝怖【聖】
[090527]27  所謂不淨＝謂【三】【宮】【聖】
[090528]28  （一者）＋略【宋】【元】
[090529]29  （二者）＋先【宋】【元】，（一者）＋先【明】
[090530]30  （二者）＝已【明】【宮】
[090531]31  說＝令【明】【宮】
[090532]32  （三者）＋未【三】【宮】
[090533]33  止＝正【三】【宮】【聖】【知】
[090534]34  〔慢〕－【三】【宮】
[090535]35  證＝論【知】
[090536]36  （增上）＋慢【三】【宮】
[090537]37  力＝種【元】
[090538]38  （一者）＋有【三】【宮】
[090539]39  （二者）＋無【三】【宮】
[090540]40  〔行〕－【聖】【知】
[090541]41  （三者）＋若【三】【宮】
[090542]42  （四者）＋數【三】【宮】
[090543]43  （五者）＋不【三】【宮】
[090544]44  〔是名…喜〕二十四字－【宮】
<090508>＊  〔菩薩〕－【三】【宮】
[090545]45  〔捨〕－【三】【宮】【聖】
[090546]46  授＝受【知】
[090547]47  行利＝利益【三】【宮】
[090601]01  （惠）＋施【三】【宮】
[090602]02  云＝以【三】【宮】【知】
<090601>＊  〔菩薩〕－【三】【宮】
[090603]03  利＝事【三】【宮】
[090604]04  〔攝〕－【三】【宮】
[090605]05  就＝熟【三】【宮】
[090606]06  ◎不分卷【三】【宮】【聖】【知】
[090607]07  ◎不分卷【三】【宮】【聖】【知】，〔菩薩地持〕－【明】
[090608]08  尸＋（羅）【明】【知】
[090609]09  〔有〕－【明】
[090610]10  自性施＝施自性【宋】【元】
[090611]11  〔若菩薩〕－【三】【宮】
[090612]12  支＝肢【元】【明】
[090613]13  〔乃至〕－【三】【宮】
[090614]14  不＝非【宮】＊
<090602>＊  不＝非【宮】
<090603>＊  不＝非【宮】
[090615]15  （是）＋則【三】【宮】
<090604>＊  不＝非【宮】
[090616]16  盡施＝眾生【宋】【元】，施與【明】【宮】
[090617]17  施＝應施【聖】，應【知】
[090618]18  所＝彼【三】【宮】
[090619]19  欺誑＝侵欺【三】【宮】
[090620]20  （心）＋亂【三】【宮】
[090621]21  眾生＝人【三】【宮】
[090622]22  毒火＝火毒【三】【宮】
[090623]23  墮＝隨【知】＊
<090605>＊  墮＝隨【知】
[090624]24  〔何者…學〕十一字－【宮】
[090625]25  殺生＝傷害【三】【宮】
[090626]26  會＝貪【聖】【知】
[090627]27  他殺羊祀天＝人祀天殺羊【三】【宮】
[090628]28  悉＝亦【三】【宮】
[090629]29  學＝造【三】【宮】
[090630]30  罩＝[(ㄇ@人)/曾]【三】【宮】【聖】【知】
[090631]31  羅機＝機羅【聖】【知】
[090632]32  惱＝害【三】【宮】
[090633]33  他＝人【三】【宮】
[090634]34  〔子〕－【三】【宮】【知】
[090635]35  不施與＝皆布施【三】，皆不施【宮】
[090636]36  復＝餘【宮】
[090637]37  （（車輿…具））十八字＝（（輦輿諸莊嚴具衣福飲食））十字【三】【宮】
[090638]38  技＝伎【宋】【宮】【知】
[090639]39  〔戲樂〕－【宮】
[090640]40  〔眾具〕－【三】【宮】
[090641]41  請求＝求請【三】【宮】
[090642]42  盡施＝施與【三】【宮】
[090643]43  不＝非【三】【宮】＊
[090644]44  〔是〕－【三】【宮】
[090645]45  施＝ ( 與）【三】【宮】
[090646]46  惱＝性【知】
[090647]47  求欲自＝欲自殘【三】【宮】
[090648]48  我＝己【三】【宮】
[090701]01  由＝因【聖】【知】
[090702]02  凡所施物清淨如法＝如法淨物持用布施【三】【宮】
[090703]03  〔不犯…施〕八字－【宮】
[090704]04  一切＝諸【三】【宮】
[090705]05  怨親＝親怨【三】【宮】【知】
[090706]06  （終）＋不【三】【宮】
[090707]07  〔如所〕－【三】【宮】
[090708]08  〔先〕－【三】【宮】
[090709]09  勝物後施＝好後與【三】【宮】
[090710]10  泰＝忝【知】
[090711]11  恭敬＝敬者【三】【宮】
[090712]12  （菩薩）＋不【三】【宮】
[090713]13  用＝以【三】【宮】
[090714]14  他＝餘【聖】【知】
[090715]15  不如法＝非法飲【三】【宮】
[090716]16  〔來求者所謂施〕－【三】【宮】
[090717]17  人＋（所謂）【三】【宮】
[090718]18  汙食＝所汙【三】【宮】
<090701>＊  不＝非【三】【宮】
<090702>＊  不＝非【三】【宮】
[090719]19  食＋（肉）【知】
<090703>＊  不＝非【三】【宮】
[090720]20  如＝除【聖】【知】
[090721]21  菩薩＝則以【三】【宮】
[090722]22  施＝者則【三】【宮】
[090723]23  〔人〕－【三】【宮】
[090724]24  方＝乃【三】【宮】
[090725]25  如是＝所謂【三】【宮】
[090726]26  〔此諸檀越〕－【宮】
[090727]27  敬供＝供敬，敬恭【元】
[090728]28  要＝惡【知】
[090729]29  謂以＝所謂【三】，〔謂以施攝〕－【宮】
[090730]30  他＝人【三】【宮】
[090731]31  教＝勸【三】【宮】
[090732]32  珼＝具【三】【宮】【知】
[090733]33  他＝於【三】【宮】
[090734]34  定心＝決定【三】【宮】
[090735]35  弄＝下【宮】【聖】【知】
[090736]36  宜＝應【三】【宮】
[090737]37  〔作是念言彼來求者〕－【三】【宮】
[090738]38  〔富樂〕－【三】【宮】
[090739]39  有＝無【三】【宮】
[090740]40  怙＝恃【三】【宮】＊
[090741]41  〔作是念言〕－【聖】【知】
[090742]42  具＝俱【三】【宮】
[090743]43  乞＝苦下賤【三】【宮】
<090704>＊  怙＝恃【三】【宮】
[090744]44  〔先〕－【三】【宮】
[090745]45  念＋（已）【三】【宮】
[090746]46  彼富人＝非貧下【三】【宮】
[090747]47  唯＝惟【三】，唯願仁者＝惟令彼於【宮】
[090748]48  勿＝不【三】【宮】
[090749]49  〔心〕－【宮】
[090750]50  善＝友【三】【宮】
[090751]51  與＝者【三】【宮】
[090752]52  舍＝家【三】【宮】
[090753]53  我舍＝就我【三】【宮】
[090754]54  施與＝與之【三】【宮】
[090755]55  令＝今【明】
[090756]56  若＝苦【元】
[090757]57  取發＝來可【三】【宮】
[090758]58  來＝取【三】【宮】
[090759]59  和上＝和尚【元】【明】
[090760]60  若＝或【三】，〔若不慳貪〕－【宮】
[090761]61  施作福＝作福者【三】【宮】
[090762]62  持＝以【三】【宮】
[090763]63  彼＝之【三】【宮】
[090764]64  彼樂＝樂修【三】【宮】
[090801]01  亦＝示【知】
[090802]02  價＝人【三】【宮】，賈【知】
[090803]03  他時＝於他【三】【宮】
[090804]04  已＝見【三】【宮】
[090805]05  自身＝欺己【三】【宮】
[090806]06  熙＝嬉【三】【宮】
[090807]07  〔彼〕－【三】【宮】
[090808]08  〔欲〕－【宮】
[090809]09  者＝吝【三】【宮】
[090810]10  〔常〕－【宮】
[090811]11  施＋（者）【三】【宮】
[090812]12  行＝作【宮】【知】
[090813]13  乏＝之【聖】
[090814]14  財＋（貨）【三】【宮】
[090815]15  〔者亦不施與〕－【三】【宮】
[090816]16  〔亦不施與〕－【三】【宮】
[090817]17  亦＝悉【三】【宮】
[090818]18  〔持經隨所〕－【宮】
[090819]19  樂＝施【三】【宮】
[090820]20  又＝若【三】，〔又〕－【宮】
[090821]21  他人有如是經＝有者【宮】
[090822]22  心＋（我今不施）【三】【宮】
[090823]23  〔纏心不能施耶〕－【宮】
[090824]24  〔不施彼耶〕－【宮】
[090825]25  〔作〕－【三】【宮】
[090826]26  〔自〕－【三】【宮】
[090827]27  〔若〕－【三】【宮】
[090828]28  持＝以【三】【宮】
[090829]29  〔我〕－【三】【宮】
[090830]30  〔彼菩薩〕－【三】【宮】
[090831]31  〔行〕－【聖】【知】
[090832]32  必定不＝無可相【三】【宮】
[090833]33  施＝財【三】【宮】
[090834]34  〔十方〕－【三】【宮】
[090835]35  〔已〕－【三】【宮】
[090836]36  上＝尚【三】【宮】
[090837]37  名＋（為）【三】【宮】
[090838]38  〔之〕－【三】【宮】＊
[090839]39  稱＝語【三】【宮】
[090840]40  賢首＝仁者【三】【宮】
[090841]41  〔當〕－【三】【宮】
[090842]42  〔有〕－【宮】
[090843]43  （皆）＋如【三】【宮】
<090801>＊  〔之〕－【三】【宮】
[090844]44  修習＝習施【三】【宮】
[090845]45  施＝有【三】【宮】＊
[090846]46  〔財物雖多〕－【三】＊【宮】
[090847]47  〔世具足〕－【三】【宮】
[090848]48  多＝富【三】【宮】
[090849]49  〔而〕－【三】【宮】
[090850]50  施障＝障施【三】【宮】
<090802>＊  施＝有【三】【宮】
<090803>＊  施＝有【三】【宮】
[090851]51  欲布施＝生施心【三】【宮】
[090852]52  是＋（害）【聖】【知】
[090853]53  〔作是思惟〕－【聖】【知】
[090854]54  因＝困【知】
[090855]55  〔日〕－【三】【宮】
[090856]56  菜＝菜果【三】【宮】
[090901]01  〔彼〕－【三】【宮】
[090902]02  慧＋（作是思惟）【三】【宮】
[090903]03  〔我於…相〕八字－【宮】
[090904]04  生＝作【三】
[090905]05  相＝想於無常而作常想無我中作我所想【三】【宮】
[090906]06  所＝布【三】【宮】
[090907]07  （所）＋謂【三】【宮】
[090908]08  堅＋（固）【知】
[090909]09  （財）＋財【三】【宮】
[090910]10  淨＝清【三】【宮】
[090911]11  〔布〕－【三】【宮】
[090912]12  〔當知〕－【三】【宮】
[090913]13  〔內外所〕－【三】【宮】
[090914]14  物＝略【三】【宮】
[090915]15  〔分別〕－【三】【宮】
[090916]16  〔云何菩薩〕－【宮】
[090917]17  施＋（物）【三】＊【宮】
[090918]18  〔有〕－【宮】
[090919]19  種＋（一者）【三】【宮】
[090920]20  是名＝二者【三】【宮】
[090921]21  〔第一難施若菩薩〕－【三】【宮】
[090922]22  施＝寶【三】【宮】
[090923]23  越＝起【三】【宮】【聖】
[090924]24  〔著〕－【三】【宮】
[090925]25  是名第二難施若＝三者【三】【宮】
[090926]26  〔是名菩薩第三難施〕－【三】【宮】
[090927]27  〔云何〕－【宮】
[090928]28  〔菩薩〕－【三】【宮】＊
<090901>＊  施＋（物）【三】
[090929]29  〔是〕－【三】【宮】
[090930]30  （有）＋物【三】【宮】
[090931]31  物＝總【宋】【元】，〔物〕－【宮】
[090932]32  集布施＝客作人【宮】
[090933]33  作＝使【三】【宮】
[090934]34  （若他所須）＋悉【三】【宮】
[090935]35  〔若他…薩〕二十字－【三】【宮】
<090902>＊  施＋（物）【三】
<090903>＊  〔菩薩〕－【三】【宮】
[090936]36  〔布〕－【三】【宮】＊
<090904>＊  〔布〕－【三】【宮】
[090937]37  〔是名…薩〕十一字－【三】【宮】
<090905>＊  施＋（物）【三】
[090938]38  器＝福田【三】【宮】
[090939]39  罪＋（物）【三】【宮】
[090940]40  方土物＝國土【三】【宮】
[090941]41  資財＝象馬等【三】【宮】
[090942]42  〔如是…薩〕二十六字－【三】【宮】
[090943]43  〔器〕－【聖】【知】
<090906>＊  施＋（物）【三】
[090944]44  〔有〕－【三】【宮】
[090945]45  〔菩薩見〕－【三】【宮】
[090946]46  者施以＝與【三】【宮】＊
[090947]47  乘＝衣【三】【宮】＊
<090907>＊  乘＝衣【三】【宮】
[090948]48  衣＝乘【三】【宮】＊
<090908>＊  衣＝乘【三】【宮】
[090949]49  種種器具悉皆施與＝華鬘塗香與華鬘塗香【三】【宮】
[090950]50  華鬘塗香者隨其所欲＝藥與【三】【宮】
<090909>＊  者施以＝與【三】【宮】
[090951]51  〔施以〕－【宮】
[090952]52  〔如是…何〕十三字－【三】【宮】
<090910>＊  施＋（物）【三】
[090953]53  法施無畏施＝無畏施法施【三】【宮】
[090954]54  授＝受【聖】
[090955]55  〔者〕－【三】【宮】
[090956]56  今世＝令【三】【宮】
[090957]57  〔云何菩薩〕－【三】【宮】
<090911>＊  施＋（物）【三】
[090958]58  〔云何十〕－【三】【宮】
[090959]59  〔心〕－【聖】【知】
[090960]60  〔所〕－【三】【宮】
[090961]61  〔心〕－【聖】
[090962]62  恩＝思【知】
[090963]63  見＋（施）【三】【宮】
[090964]64  非＝是【明】【宮】
[090965]65  而施福＝施福利【三】【宮】
[090966]66  施＋（其）【聖】【知】
[090967]67  過＝[這-言+向]【宋】【元】
[090968]68  過＝咎【三】【宮】
[090969]69  坌＝芥【宮】
[091001]01  心＝意【三】【宮】
[091002]02  〔心〕－【知】
[091003]03  〔是名不下心施〕－【三】【宮】
[091004]04  恩＝息【知】
[091005]05  〔心〕－【三】【宮】
[091006]06  恩＝思【宋】【宮】【聖】【知】
[091007]07  故＝苦【三】【宮】【聖】【知】
[091008]08  怖＝悕【三】【宮】，希【聖】【知】
[091009]09  快＝決【知】
[091010]10  ◎卷第三終【三】【宮】
[091011]11  ◎卷第四首【三】【宮】，譯號同異如首卷【三】【宮】，〔菩薩地持〕－【三】【宮】
[091012]12  〔之一〕－【三】【宮】【聖】【知】
[091013]13  尸波羅蜜略說＝戒戒者【聖】【知】
[091014]14  〔云何〕－【三】【宮】【聖】【知】
[091015]15  戒＋（者）【三】【宮】【聖】【知】
[091016]16  〔是〕－【三】【宮】
[091017]17  〔受〕－【三】【宮】【聖】【知】
[091018]18  犯已＝若犯【三】【宮】＊
[091019]19  悔＝懺【三】【宮】＊
[091020]20  （從初）＋堅【三】【宮】
[091021]21  愧＝慚【三】【宮】
[091022]22  〔受〕－【聖】【知】，〔受者〕－【宮】
[091023]23  慚＝愧【三】【宮】
<091001>＊  犯已＝若犯【三】【宮】
[091024]24  〔已〕－【宮】
<091002>＊  悔＝懺【三】【宮】
[091025]25  專精不犯＝從初堅持【三】【宮】
[091026]26  離悔是菩薩＝心無有悔【三】【宮】
[091027]27  （（善能…法））五十字＝（（於諸受戒能善護持善？持故心無有悔從他正受善淨心此二是法若犯即懺從初堅持此二隨法從他正受善淨心從初堅持此三））五十二字【三】【宮】
[091028]28  受＝戒【聖】【知】，〔是名〕－【宮】
<091003>＊  犯已＝若犯【三】【宮】
<091004>＊  悔＝懺【三】【宮】
[091029]29  〔是名〕－【三】【宮】
[091030]30  〔是〕－【三】【宮】
[091031]31  安安＝利利【三】【宮】
[091032]32  利安＝饒益【三】【宮】
[091033]33  云何菩薩＝名自性戒【三】【宮】
[091034]34  戒＋（者）【三】【宮】
[091035]35  （有）＋二【三】【宮】
[091036]36  〔分〕－【三】【宮】
[091037]37  分是＝在家出家所受持者【三】【宮】
[091038]38  〔謂〕－【三】【宮】
[091039]39  業＝善【三】【宮】
[091040]40  切＋（名）【三】【宮】
[091041]41  陀＝他【三】【宮】
[091042]42  有＝見【三】【宮】
[091043]43  患＝病【三】【宮】
[091044]44  善＝美【三】【宮】
[091045]45  念口言隨喜歡悅＝口隨喜【三】【宮】
[091046]46  自＝常【三】【宮】
[091047]47  悔除＝懺悔【三】【宮】
[091048]48  作饒益事＝所作諸饒益業【三】【宮】
[091049]49  為伴＝同事【三】【宮】
[091050]50  看＝瞻【三】【宮】
[091051]51  能＝非【宋】
[091052]52  〔若有眾生〕－【宮】
[091053]53  見有＝若見【三】【宮】
[091054]54  悉能給施隨其所須＝隨其所須悉能給施【三】【宮】
[091055]55  （隨時往反）＋先【三】【宮】
[091056]56  隨時往反給施飲＝給施衣【三】【宮】
[091057]57  （功）＋德【三】【宮】
[091058]58  歡悅＝讚美【三】【宮】＊
[091059]59  呵責折伏罰黜＝折伏訶責罰擯【三】【宮】
[091060]60  心＋（是名攝眾生戒）【三】【宮】
[091061]61  叉＋（律儀）【三】【宮】
[091062]62  視＝遺【三】【宮】
[091063]63  乃至來世魔天＝來世乃至魔天五欲【三】【宮】
[091064]64  無＝不【聖】
[091065]65  持＝行【聖】
[091066]66  捨＝於【三】【宮】
[091101]01  樂＝處【三】【宮】
[091102]02  〔住戒〕－【三】【宮】
[091103]03  法＋（住）【聖】
[091104]04  亦＝是【三】【宮】
[091105]05  儀＋（戒）【三】【宮】＊
[091106]06  （自）＋省【聖】【知】
[091107]07  憐＝慈【三】【宮】＊
<091101>＊  儀＋（戒）【三】【宮】
<091102>＊  儀＋（戒）【三】【宮】
<091103>＊  悔＝懺【三】【宮】
<091104>＊  悔＝懺【三】【宮】
[091108]08  〔行〕－【聖】【知】
<091105>＊  儀＋（戒）【三】【宮】
[091109]09  庠＝詳【三】【宮】
[091110]10  法＝行【三】【宮】
[091111]11  善護＝菩薩【三】【宮】
[091112]12  （所）＋謂【三】【宮】
[091113]13  戀＝念【三】【宮】
[091114]14  欣想＝願樂【三】【宮】
[091115]15  念＝起【三】【宮】
[091116]16  樂＝好【三】【宮】
[091117]17  堪＝慈【三】【宮】
[091118]18  怨＝惡【聖】【知】
[091119]19  〔不起〕－【宮】
[091120]20  〔菩薩成就〕－【聖】【知】
[091121]21  〔名〕－【聖】
[091122]22  〔定〕－【聖】【知】
[091123]23  五行＝依【宮】
[091124]24  皆與同事＝諸饒益業【三】【宮】
[091125]25  守護財物＝四業牧牛【宮】
[091126]26  世間吉會及諸＝若吉會若【三】【宮】
[091127]27  皆＝悉【三】【宮】＊
<091106>＊  皆＝悉【三】【宮】
[091128]28  給＝養【知】
[091129]29  導＝道【三】【宮】
[091130]30  授＝受【知】
[091131]31  悼＝掉【三】【宮】
[091132]32  蓋＝纏【宮】
[091133]33  如是等苦亦令遠離＝亦復如是【三】【宮】
[091134]34  知＝如【聖】
[091135]35  （或）＋方【三】【宮】
[091136]36  〔者〕－【三】【宮】
[091137]37  除滅＝滅除【三】【宮】【知】
[091138]38  悔＝惱【三】【宮】
<091107>＊  歡悅＝讚美【三】【宮】
[091139]39  （（呵責…悔））十字＝（（折伏訶責罰擯））六字【三】【宮】
[091140]40  〔所〕－【三】【宮】
[091141]41  水火王賊鬼神惡獸＝師子虎狼王賊水火【三】【宮】
[091142]42  怖畏＝恐怖【三】【宮】
[091143]43  見＝有【三】【宮】
[091144]44  火燒水[漂*寸]亡＝水水燒沒忘【三】【宮】
[091145]45  見有＝若見【三】【宮】
[091146]46  給施所須飲食衣服＝衣服飲食疾病【三】【宮】
[091147]47  〔眾具〕－【三】【宮】
[091148]48  （（莊嚴…宅））十二字＝（（舍宅財物車乘服玩諸莊嚴具））十二字【三】【宮】
[091149]49  乏＝之【聖】
[091150]50  皆給施＝給施之【三】【宮】
[091151]51  受＝畜【三】【宮】
[091152]52  誡＝械【知】
[091153]53  種＋（性）【三】【宮】
[091154]54  〔中〕－【宮】
[091155]55  隨＋（順）【三】【宮】
[091156]56  〔戒〕－【三】【宮】
[091157]57  自＝體【三】【宮】
[091158]58  惱＝苦【三】【宮】＊
<091108>＊  惱＝苦【三】【宮】
<091201>＊  惱＝苦【三】【宮】
[091201]01  歡＝難【宮】
[091202]02  寂靜諸根＝諸根寂靜【三】【宮】
[091203]03  意＝事【三】【宮】
<091202>＊  悔＝懺【三】【宮】
[091204]04  讚歡悅＝揚讚美【三】【宮】
[091205]05  呵責＝折伏【三】【宮】
[091206]06  調＝折【三】【宮】
<091203>＊  憐＝慈【三】【宮】
[091207]07  〔心〕－【聖】【知】
[091208]08  折伏罰黜亦復如＝罰擯亦爾【三】【宮】
[091209]09  犯＋（者）【三】【宮】
[091210]10  黜＝擯【三】【宮】，默【聖】【知】
[091211]11  〔故〕－【三】【宮】
[091212]12  誡＝化【三】【宮】
[091213]13  〔菩薩〕－【三】【宮】
[091214]14  彼＝此【三】【宮】
[091215]15  怖＝畏【三】【宮】
[091216]16  諸＝餘【三】【宮】【聖】【知】
[091217]17  調＝信【三】【宮】
[091218]18  悅＝喜【三】【宮】
[091219]19  如是菩薩＝菩薩如是名【三】【宮】
[091220]20  利＝攝【三】【宮】
[091221]21  聚＝藏【三】【宮】＊
<091204>＊  聚＝藏【三】【宮】
[091222]22  ◎不分卷及品【三】【聖】【宮】【知】
<091205>＊  （（北涼…譯））十四字＝（（北涼天竺三藏法師曇無讖譯））十二字【三】【宮】
[091223]23  ◎不分卷及品【三】【聖】【宮】【知】
[091224]24  先禮足已＝恭敬作禮胡跪合掌【三】【宮】
[091225]25  我＋（某甲今）【三】【宮】
[091226]26  薩＋（律儀）【三】【聖】【宮】
[091227]27  請＝乞【三】
[091228]28  於三世十方＝向一切【三】【宮】
[091229]29  〔諸〕－【三】【宮】【知】
[091230]30  〔前〕－【三】【宮】
[091231]31  淳＝浮【知】
[091232]32  智者＝佛像【三】【宮】
[091233]33  於＝向於【三】【宮】，在【聖】
[091234]34  佛像前＝智者【三】【宮】
[091235]35  〔唯〕－【三】【宮】
[091236]36  薩＋（律儀）【三】【宮】＊
[091237]37  聚＝藏【三】【宮】＊
[091238]38  〔而〕－【三】【宮】
[091239]39  〔諦〕－【聖】【知】
[091240]40  不＝非【宮】
[091241]41  （智者）＋復【三】【宮】
[091242]42  汝善男子＝善男子汝【三】【宮】
[091243]43  〔所〕－【三】【宮】
[091244]44  〔諸〕－【三】【宮】
[091245]45  彼戒已＝菩薩戒竟【三】
[091246]46  〔爾時〕－【三】【宮】
[091247]47  〔甲〕－【三】【宮】
<091206>＊  薩＋（律儀）【三】【宮】
[091248]48  十方無量諸佛第一＝諸佛【三】【宮】
[091249]49  〔現知見〕－【宮】
[091250]50  〔者〕－【三】【宮】
[091251]51  覺＋（者）【三】【宮】
[091252]52  某＋（甲【三】【宮】
<091207>＊  薩＋（律儀）【三】【宮】
[091253]53  〔我為作證〕－【聖】【知】
<091208>＊  薩＋（律儀）【三】【宮】
[091254]54  〔住〕－【三】【宮】
[091255]55  〔諸〕－【三】【宮】
[091256]56  見＋（告諸大眾）【三】【宮】
[091257]57  某菩薩＝有某甲【三】【宮】
<091209>＊  薩＋（律儀）【三】【宮】
[091301]01  減＝滅【宮】
[091302]02  覺＝見【三】【宮】
<091301>＊  薩＋（律儀）【三】【宮】
[091303]03  已＝竟【三】【宮】
[091304]04  者向＝俱起敬禮【三】，者＋（俱起敬禮）【知】
[091305]05  〔敬禮而退〕－【三】【宮】
[091306]06  退＝起【聖】
[091307]07  種＋（智）【聖】，（知）【知】
[091308]08  〔其〕－【三】【宮】
[091309]09  菩薩戒者＝律儀戒菩薩當【三】【宮】
[091310]10  得＝德【三】【宮】＊
<091302>＊  薩＋（律儀）【三】【宮】
[091311]11  〔不信者則不從受謂〕－【三】【知】
<091303>＊  薩＋（律儀）【三】【宮】
[091312]12  惟＋（者則不從受）【三】【宮】
[091313]13  〔有〕－【三】【宮】【聖】【知】
[091314]14  一穀＝搆【三】【宮】，一搆【聖】【知】
[091315]15  （（藏修…受菩薩））十九字＝（（修多羅藏者如是等人悉皆從受菩薩受菩薩律儀））二十字【三】【宮】
[091316]16  〔已〕－【三】【宮】
[091317]17  〔覆〕－【三】【宮】
<091304>＊  薩＋（律儀）【三】【宮】
<091305>＊  聚＝藏【三】【宮】
<091306>＊  薩＋（律儀）【三】【宮】
<091307>＊  得＝德【三】【宮】
[091318]18  （所）＋說【三】【宮】
<091308>＊  薩＋（律儀）【三】【宮】
<091309>＊  薩＋（律儀）【三】【宮】
[091319]19  ◎卷第四終【聖】【知】
[091320]20  ◎卷第五菩薩地持方便處戒品之餘首【聖】【知】，〔如是菩薩〕－【三】【宮】
[091321]21  者＝菩薩【三】【宮】
[091322]22  法＋（先經曰自歎得菩薩戒住菩薩地也）夾註【三】【宮】
[091323]23  求索者＝從索者【三】【宮】
[091324]24  法＋（先經曰不施乃至一錢不施乃至一偈也）夾註【三】【宮】
[091325]25  薩＋（橫生）【三】【宮】
